"OTU","Stress.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Stress.RF.Rank","Enrichment.Stress","ASV.Family"
"ASV251",0.00980555555555555,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,121,"Stress Post","ASV251  ( NA )"
"ASV129",0.00961904761904762,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",122.5,"Stress Post","ASV129  ( Lachnospiraceae )"
"ASV383",0.00961904761904762,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",122.5,"Stress Post","ASV383  ( Lachnospiraceae )"
"ASV127",0.00888888888888889,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",124,"Stress Post","ASV127  ( Lachnospiraceae )"
"ASV256",0.00883333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4B4 group",125,"Stress Post","ASV256  ( Lachnospiraceae )"
"ASV162",0.00866666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",126.5,"Stress Post","ASV162  ( Lachnospiraceae )"
"ASV203",0.00866666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,126.5,"Stress Post","ASV203  ( Lachnospiraceae )"
"ASV191",0.0085,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",128,"Stress Post","ASV191  ( Lachnospiraceae )"
"ASV42",0.00833333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ventriosum group",129,"Stress Post","ASV42  ( Lachnospiraceae )"
"ASV200",0.00826984126984127,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,130,"Naive Post","ASV200  ( Lachnospiraceae )"
"ASV253",0.00766666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",131,"Stress Post","ASV253  ( Lachnospiraceae )"
"ASV462",0.00761904761904762,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,132,"Stress Post","ASV462  ( Lachnospiraceae )"
"ASV110",0.00758333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",133,"Stress Post","ASV110  ( Lachnospiraceae )"
"ASV411",0.00754761904761905,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",134,"Stress Post","ASV411  ( Oscillospiraceae )"
"ASV61",0.0075,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",135,"Stress Post","ASV61  ( Lachnospiraceae )"
"ASV107",0.00743333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",136,"Naive Post","ASV107  ( Lachnospiraceae )"
"ASV219",0.00711428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,137,"Stress Post","ASV219  ( Lachnospiraceae )"
"ASV368",0.007,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,138.5,"Stress Post","ASV368  ( Ruminococcaceae )"
"ASV517",0.007,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,138.5,"Naive Post","ASV517  ( Lachnospiraceae )"
"ASV36",0.00693333333333333,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,140,"Stress Post","ASV36  ( NA )"
"ASV111",0.006,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",141.5,"Stress Post","ASV111  ( Lachnospiraceae )"
"ASV578",0.006,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,141.5,"Stress Post","ASV578  ( NA )"
"ASV21",0.00595238095238095,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",143,"Stress Post","ASV21  ( Oscillospiraceae )"
